id,name,han,type,x,y,era_founded,era_destroyed,race,qi,power,population,description
l01,Cố Nguyên Thành,固元城,capital,5000,5000,0,,Nhân Tộc,tối cao,5,980000,"Kinh đô ngàn năm của đại lục, hội tụ linh khí thiên địa."
l02,Thiên Sơn Thánh Địa,天山聖地,sacred,2500,1500,-500000,,Long Tộc,tối cao,5,12000,"Nơi Long Tộc cư trú từ thuở khai thiên. Đỉnh núi cao chạm tầng mây thứ chín."
l03,Hắc Vực Môn,黑域門,secret_realm,7800,7500,50000,130000,Yêu Tộc,âm,4,0,"Bí cảnh tà linh bị phong ấn sau Chiến Loạn Kỷ."
l04,Bắc Băng Thành,北冰城,city,5200,900,80000,,Nhân Tộc,trung,3,240000,"Thành phố cực bắc bao phủ bởi băng vĩnh cửu."
l05,Ngọc Hải Cảng,玉海港,port,8600,5000,100000,,Hải Tộc,trung,3,310000,"Hải cảng lớn nhất đại lục, giao thương muôn phương."
l06,Linh Thảo Cốc,靈草谷,resource,3200,6800,0,,Vi Tộc,cao,2,8000,"Thung lũng linh dược quý hiếm, Vi Tộc canh giữ nghìn đời."
l07,Lôi Vân Đỉnh,雷雲頂,sacred,7200,1800,40000,,Vũ Tộc,cao,4,5000,"Đỉnh núi tầm sấm chớp quanh năm. Vũ Tộc tụ hội nơi đây."
l08,Cổ Thụ Lâm,古樹林,resource,1800,7200,-500000,,Trùng Tộc,cao,2,15000,"Rừng cổ thụ nghìn năm tuổi, Trùng Tộc và yêu thú cư ngụ."
l09,Hồng Hoang Thảo Nguyên,洪荒草原,city,2000,4500,0,,Cự Tộc,trung,2,180000,"Thảo nguyên bất tận, nơi Cự Tộc dựng bộ lạc đầu tiên."
l10,Nam Minh Hải Thành,南冥海城,port,5500,9200,120000,,Hải Tộc,trung,3,260000,"Thành cảng cực nam, cổng vào Hải Giới bí ẩn."
l11,Phế Khư Cổ Thành,廢墟古城,ruin,6200,3800,0,40000,Nhân Tộc,âm,1,0,"Tàn tích đô thành đầu tiên của Nhân Tộc, bị hủy diệt trong Hỗn Độn Kỷ."
l12,Huyết Nguyệt Sơn,血月山,sacred,6800,7200,50000,,Yêu Tộc,âm,4,3000,"Núi thiêng của Yêu Tộc. Trăng đỏ chiếu sáng đỉnh núi suốt ba nghìn năm."
l13,Ngọc Long Hồ,玉龍湖,resource,3800,2800,-500000,,Long Tộc,cao,3,6000,"Hồ nước linh thanh khiết nhất đại lục, Long Tộc dùng để tẩy huyết mạch."
l14,Sa Mạc Hư Vô,沙漠虛無,ruin,8200,3500,80000,,Thạch Tộc,trung,2,0,"Vùng đất cằn nơi Thạch Tộc khai thác khoáng sản, bị hoang hóa sau chiến loạn."
l15,Hải Long Cung,海龍宮,secret_realm,9200,6000,-500000,,Hải Tộc,tối cao,5,0,"Cung điện bí ẩn dưới đáy đại dương, nơi Hải Tộc hoàng gia ẩn cư."
l16,Tiêu Diêu Cốc,逍遙谷,city,1200,6000,80000,,Vi Tộc,cao,3,95000,"Thung lũng ẩn thế của Vi Tộc, nơi các ẩn sĩ lui về tu tâm dưỡng tính."
l17,Vạn Kiếm Sơn,萬劍山,sacred,6500,2500,40000,,Nhân Tộc,cao,4,8000,"Dãy núi trăm nghìn thanh kiếm cổ cắm xuống đất từ trận chiến thiên địa."
l18,Âm Phủ Quan,陰府關,dungeon,4200,8500,130000,,Yêu Tộc,âm,5,0,"Cổng dẫn vào địa ngục, bị phong ấn bởi liên minh vạn tộc sau Chiến Loạn Kỷ."
l19,Bạch Ngọc Kinh,白玉京,capital,3000,3500,80000,170000,Long Tộc,tối cao,5,420000,"Kinh thành Long Tộc thời Linh Nguyên Kỷ, bị thiêu rụi trong đại chiến cuối kỷ."
l20,Mê Hồn Trận,迷魂陣,secret_realm,1500,2500,0,,Vi Tộc,cao,3,0,"Trận pháp cổ xưa Vi Tộc bố trí để ngăn xâm lược từ phương bắc."
l21,Đông Hải Quan,東海關,port,8800,3500,100000,,Hải Tộc,trung,3,145000,"Cửa ải kiểm soát tuyến đường biển phía đông bắc."
l22,Thiết Huyết Đài,鐵血臺,city,6000,6500,130000,,Nhân Tộc,trung,3,220000,"Thành trì quân sự xây trên xương cốt của trận Chiến Loạn."
l23,Linh Khí Suối,靈氣泉,resource,4600,4200,0,,Nhân Tộc,cao,2,500,"Mạch suối linh khí tự phun lên từ lòng đất, dược lực vô song."
l24,Cô Đảo Thần Tích,孤島神跡,sacred,9000,8500,0,,Hải Tộc,tối cao,4,200,"Hòn đảo cô độc giữa biển khơi, nơi thần linh Hải Tộc hiển linh."
l25,Băng Huyết Thành,冰血城,city,4800,700,130000,,Nhân Tộc,trung,3,175000,"Tiền đồn cực bắc, lính thú đóng quân bảo vệ biên giới băng giá."
l26,Hổ Phách Lâm,琥珀林,resource,2800,5500,-500000,,Tinh Linh Tộc,trung,2,12000,"Rừng cây hổ phách kỳ lạ, kinh đô Tinh Linh Vương Quốc ẩn mình nơi đây."
l27,Tử Lôi Cốc,紫雷谷,dungeon,7500,4000,80000,,Thạch Tộc,cao,4,0,"Hang động nơi sét tím kỳ lạ không ngừng đánh xuống, ẩn giấu linh bảo cổ đại."
l28,Ngũ Hành Tháp,五行塔,sacred,5000,3500,40000,200000,Nhân Tộc,tối cao,5,2000,"Ngọn tháp năm tầng tượng trưng ngũ hành, trung tâm tu luyện của đại lục."
l29,Hoang Cổ Chiến Trường,荒古戰場,ruin,3500,6000,0,80000,Nhân Tộc,âm,2,0,"Chiến trường cổ xưa nơi Nhân Tộc và Yêu Tộc giao tranh lần đầu."
l30,Hải Vực Thâm Uyên,海域深淵,secret_realm,9500,5500,0,,Hải Tộc,âm,5,0,"Vực thẳm sâu nhất đại dương. Không ai lặn xuống và trở về được."
